x,y,cc,treatment,area,source
563725.0,5705705.0,89.0,treated,non-inoculated,s2
563735.0,5705705.0,92.0,treated,non-inoculated,s2
563745.0,5705705.0,90.0,treated,non-inoculated,s2
563755.0,5705705.0,94.0,treated,non-inoculated,s2
563765.0,5705705.0,90.0,treated,non-inoculated,s2
563775.0,5705705.0,95.0,treated,non-inoculated,s2
563785.0,5705705.0,101.0,treated,non-inoculated,s2
563695.0,5705695.0,93.0,treated,non-inoculated,s2
563705.0,5705695.0,92.0,treated,non-inoculated,s2
563715.0,5705695.0,90.0,treated,non-inoculated,s2
563755.0,5705695.0,89.0,treated,non-inoculated,s2
563765.0,5705695.0,93.0,treated,non-inoculated,s2
563775.0,5705695.0,98.0,treated,non-inoculated,s2
563785.0,5705695.0,106.0,treated,non-inoculated,s2
563685.0,5705685.0,93.0,treated,non-inoculated,s2
563695.0,5705685.0,93.0,treated,non-inoculated,s2
563705.0,5705685.0,93.0,treated,non-inoculated,s2
563715.0,5705685.0,90.0,treated,non-inoculated,s2
563755.0,5705685.0,95.0,treated,non-inoculated,s2
563765.0,5705685.0,93.0,treated,non-inoculated,s2
563775.0,5705685.0,98.0,treated,non-inoculated,s2
563685.0,5705675.0,94.0,treated,non-inoculated,s2
563695.0,5705675.0,95.0,treated,non-inoculated,s2
563705.0,5705675.0,93.0,treated,non-inoculated,s2
563715.0,5705675.0,90.0,treated,non-inoculated,s2
563755.0,5705675.0,95.0,treated,non-inoculated,s2
563765.0,5705675.0,94.0,treated,non-inoculated,s2
563775.0,5705675.0,99.0,treated,non-inoculated,s2
563685.0,5705665.0,93.0,treated,non-inoculated,s2
563695.0,5705665.0,95.0,treated,non-inoculated,s2
563705.0,5705665.0,92.0,treated,non-inoculated,s2
563715.0,5705665.0,90.0,treated,non-inoculated,s2
563755.0,5705665.0,95.0,treated,non-inoculated,s2
563765.0,5705665.0,95.0,treated,non-inoculated,s2
563775.0,5705665.0,100.0,treated,non-inoculated,s2
563685.0,5705655.0,93.0,treated,non-inoculated,s2
563695.0,5705655.0,95.0,treated,non-inoculated,s2
563705.0,5705655.0,93.0,treated,non-inoculated,s2
563715.0,5705655.0,91.0,treated,non-inoculated,s2
563725.0,5705655.0,90.0,treated,non-inoculated,s2
563735.0,5705655.0,89.0,treated,non-inoculated,s2
563745.0,5705655.0,92.0,treated,non-inoculated,s2
563755.0,5705655.0,95.0,treated,non-inoculated,s2
563765.0,5705655.0,93.0,treated,non-inoculated,s2
563775.0,5705655.0,100.0,treated,non-inoculated,s2
563685.0,5705645.0,90.0,treated,non-inoculated,s2
563695.0,5705645.0,95.0,treated,non-inoculated,s2
563705.0,5705645.0,93.0,treated,non-inoculated,s2
563715.0,5705645.0,90.0,treated,non-inoculated,s2
563745.0,5705645.0,91.0,treated,non-inoculated,s2
563755.0,5705645.0,91.0,treated,non-inoculated,s2
563765.0,5705645.0,92.0,treated,non-inoculated,s2
563775.0,5705645.0,98.0,treated,non-inoculated,s2
563685.0,5705635.0,92.0,treated,non-inoculated,s2
563695.0,5705635.0,93.0,treated,non-inoculated,s2
563705.0,5705635.0,91.0,treated,non-inoculated,s2
563745.0,5705635.0,87.0,treated,non-inoculated,s2
563755.0,5705635.0,86.0,treated,non-inoculated,s2
563765.0,5705635.0,88.0,treated,non-inoculated,s2
563775.0,5705635.0,96.0,treated,non-inoculated,s2
563685.0,5705625.0,92.0,treated,non-inoculated,s2
563695.0,5705625.0,90.0,treated,non-inoculated,s2
563705.0,5705625.0,88.0,treated,non-inoculated,s2
563755.0,5705625.0,86.0,treated,non-inoculated,s2
563765.0,5705625.0,90.0,treated,non-inoculated,s2
563675.0,5705615.0,92.0,treated,non-inoculated,s2
563685.0,5705615.0,92.0,treated,non-inoculated,s2
563695.0,5705615.0,88.0,treated,non-inoculated,s2
